Name, Date, Stopped Class, Stopped Work 
Kaohsiung,2018-08-28,TRUE,
Taipei,2013-08-21,TRUE,
Taipei,2013-07-13,TRUE,
Taipei,2013-07-12,TRUE,
Taipei,2013-07-12,TRUE,
Taipei,2012-08-02,TRUE,
Taipei,2012-08-01,TRUE,
Taipei,2012-06-20,TRUE,
Taipei,2012-06-12,TRUE,
New Taipei,2012-06-12,TRUE,
Taipei,2010-09-19,TRUE,
Taipei,2009-08-08,TRUE,
Taipei,2009-08-07,TRUE,
Taipei,2008-09-29,TRUE,
Taipei,2008-09-28,TRUE,
Taipei,2008-09-14,TRUE,
Taipei,2008-09-13,TRUE,
Taipei,2008-09-12,TRUE,
Taipei,2008-07-28,TRUE,
Taipei,2007-10-07,TRUE,
Taipei,2007-10-06,TRUE,
Taipei,2007-09-18,TRUE,
Taipei,2007-08-18,TRUE,
Taipei,2007-08-17,TRUE,
Taipei,2005-09-01,TRUE,
Taipei,2005-08-31,TRUE,
Taipei,2005-08-05,TRUE,
Taipei,2005-07-18,TRUE,
Taipei,2004-10-25,TRUE,
Taipei,2004-08-25,TRUE,
Taipei,2004-08-24,TRUE,
Taipei,2002-09-06,TRUE,
Taipei,2001-09-18,TRUE,
Taipei,2001-09-17,TRUE,
Kaohsiung,2018-08-26,TRUE,
Taipei,2001-07-30,TRUE,
Tainan,2017-07-31,TRUE,
Kaohsiung,2017-07-31,TRUE,
Taipei,2017-07-30,TRUE,
New Taipei,2017-07-30,TRUE,
Taoyuan,2017-07-30,TRUE,
Taichung,2017-07-30,TRUE,
Tainan,2017-07-30,TRUE,
Kaohsiung,2017-07-30,TRUE,
Taipei,2017-07-29,TRUE,
New Taipei,2017-07-29,TRUE,
Taoyuan,2017-07-29,TRUE,
Taichung,2017-07-29,TRUE,
Tainan,2017-07-29,TRUE,
Kaohsiung,2017-07-29,TRUE,
Kaohsiung,2017-06-16,TRUE,
Kaohsiung,2017-06-15,TRUE,
Kaohsiung,2017-06-05,TRUE,
Taichung,2017-06-04,TRUE,
Kaohsiung,2017-06-04,TRUE,
New Taipei,2017-06-03,TRUE,
Kaohsiung,2017-06-03,TRUE,
New Taipei,2017-06-02,TRUE,
Kaohsiung,2017-06-02,TRUE,
Kaohsiung,2016-09-30,TRUE,
Taichung,2018-08-24,TRUE,
Tainan,2018-08-24,TRUE,
Kaohsiung,2018-08-24,TRUE,
Taoyuan,2016-09-29,TRUE,
Kaohsiung,2016-09-29,TRUE,
Taipei,2016-09-28,TRUE,
New Taipei,2016-09-28,TRUE,
Taoyuan,2016-09-28,TRUE,
Taichung,2016-09-28,TRUE,
Tainan,2016-09-28,TRUE,
Kaohsiung,2016-09-28,TRUE,
Taipei,2016-09-27,TRUE,
New Taipei,2016-09-27,TRUE,
Taoyuan,2016-09-27,TRUE,
Taichung,2016-09-27,TRUE,
Tainan,2016-09-27,TRUE,
Kaohsiung,2016-09-27,TRUE,
Taipei,2016-09-17,TRUE,
